Serial,Exchange,Symbol,Multiplier
310,NSE,MUTHOOTFIN,6.7x
311,NSE,NAM-INDIA,6.7x
312,NSE,NATCOPHARM,6.7x
313,NSE,NATIONALUM,6.7x
314,NSE,NAUKRI,6.7x
315,NSE,NAVINFLUOR,6.7x
316,NSE,NBCC,6.7x
317,NSE,NBVENTURES,6.7x
318,NSE,NCC,5x
319,NSE,NESCO,6.7x
320,NSE,NESTLEIND,6.7x
321,NSE,NETWORK18,6.7x
322,NSE,NFL,6.7x
323,NSE,NH,6.7x
324,NSE,NHPC,6.7x
325,NSE,NIACL,6.7x
326,NSE,NILKAMAL,6.7x
327,NSE,NLCINDIA,6.7x
328,NSE,NMDC,6.3x
329,NSE,NTPC,6.7x
330,NSE,OBEROIRLTY,6.7x
331,NSE,OFSS,6.7x
332,NSE,OIL,6.7x
333,NSE,OMAXE,6.7x
334,NSE,ONGC,5x
335,NSE,ORIENTCEM,5x
336,NSE,ORIENTELEC,6.7x
337,NSE,ORIENTREF,6.7x
338,NSE,PAGEIND,6.7x
339,NSE,PARAGMILK,6.7x
340,NSE,PCJEWELLER,6.5x
341,NSE,PEL,5x
342,NSE,PERSISTENT,6.7x
343,NSE,PETRONET,6.7x
344,NSE,PFC,6.7x
345,NSE,PFIZER,6.7x
346,NSE,PGHH,6.7x
347,NSE,PGHL,6.7x
348,NSE,PHILIPCARB,6.7x
349,NSE,PHOENIXLTD,6.7x
350,NSE,PIDILITIND,6.7x
351,NSE,PIIND,6.7x
352,NSE,PNB,5.2x
353,NSE,PNBHOUSING,6.7x
354,NSE,PNCINFRA,6.7x
355,NSE,POLYCAB,6.7x
356,NSE,POWERGRID,6.7x
357,NSE,PRAJIND,5x
358,NSE,PRESTIGE,6.7x
359,NSE,PRSMJOHNSN,5x
360,NSE,PTC,5x
361,NSE,PVR,5x
362,NSE,QUESS,5x
363,NSE,RADICO,6.7x
364,NSE,RAIN,6.7x
365,NSE,RAJESHEXPO,6.7x
366,NSE,RALLIS,6.7x
367,NSE,RAMCOCEM,6.7x
368,NSE,RATNAMANI,6.7x
369,NSE,RAYMOND,6.7x
370,NSE,RBLBANK,6.7x
371,NSE,RCF,6.7x
372,NSE,RECLTD,6.7x
373,NSE,REDINGTON,6.7x
374,NSE,RELAXO,6.7x
375,NSE,RELCAPITAL,6.5x
376,NSE,RELIANCE,6.7x
377,NSE,RELINFRA,5x
378,NSE,RENUKA,6.7x
379,NSE,REPCOHOME,5x
380,NSE,RESPONIND,6.7x
381,NSE,RITES,6.7x
382,NSE,RPOWER,5x
383,NSE,RVNL,6.7x
384,NSE,SADBHAV,5.7x
385,NSE,SAIL,5x
386,NSE,SANOFI,6.7x
387,NSE,SBILIFE,6.7x
388,NSE,SBIN,6.7x
389,NSE,SCHAEFFLER,6.7x
390,NSE,SFL,6.7x
391,NSE,SHILPAMED,6.7x
392,NSE,SHK,6.7x
393,NSE,SHOPERSTOP,6.7x
394,NSE,SHREECEM,6.7x
395,NSE,SHRIRAMCIT,6.7x
396,NSE,SIEMENS,6.7x
397,NSE,SIS,6.7x
398,NSE,SJVN,6.7x
399,NSE,SKFINDIA,6.7x
400,NSE,SOBHA,6.7x
401,NSE,SOLARINDS,6.7x
402,NSE,SONATSOFTW,5x
403,NSE,SOUTHBANK,6.7x
404,NSE,SPANDANA,6.7x
405,NSE,SPARC,6.7x
406,NSE,SPICEJET,5.7x
407,NSE,SRF,6.7x
408,NSE,SRTRANSFIN,6.7x
409,NSE,STAR,6.7x
410,NSE,STARCEMENT,6.7x
411,NSE,SUDARSCHEM,6.7x
412,NSE,SUNCLAYLTD,6.7x
413,NSE,SUNDARMFIN,6.7x
414,NSE,SUNDRMFAST,6.7x
415,NSE,SUNPHARMA,6.7x
416,NSE,SUNTECK,6.7x
417,NSE,SUNTV,6.7x
418,NSE,SUPRAJIT,6.7x
419,NSE,SUPREMEIND,6.7x
420,NSE,SUZLON,6.4x
421,NSE,SWANENERGY,6.7x
422,NSE,SWSOLAR,5.7x
423,NSE,SYMPHONY,6.7x
424,NSE,SYNGENE,6.7x
425,NSE,TAKE,5x
426,NSE,TASTYBITE,6.7x
427,NSE,TATACONSUM,6.7x
428,NSE,TATAELXSI,5x
429,NSE,TATAINVEST,6.7x
430,NSE,TATAMOTORS,6.7x
431,NSE,TATAMTRDVR,5x
432,NSE,TATAPOWER,6.7x
433,NSE,TATASTEEL,6.7x
434,NSE,TATASTLBSL,5x
435,NSE,TCIEXP,6.7x
436,NSE,TCNSBRANDS,6.7x
437,NSE,TCS,6.7x
438,NSE,TEAMLEASE,6.7x
439,NSE,TECHM,6.7x
440,NSE,TECHNOE,6.7x
441,NSE,THERMAX,6.7x
442,NSE,THYROCARE,6.7x
443,NSE,TIINDIA,5x
444,NSE,TIMETECHNO,6.7x
445,NSE,TIMKEN,6.7x
446,NSE,TITAN,6.7x
447,NSE,TORNTPHARM,6.7x
448,NSE,TORNTPOWER,6.7x
449,NSE,TRENT,6.7x
450,NSE,TRIDENT,5x
451,NSE,TRITURBINE,6.7x
452,NSE,TTKPRESTIG,6.7x
453,NSE,TV18BRDCST,6.7x
454,NSE,TVSMOTOR,6.7x
455,NSE,TVTODAY,6.7x
456,NSE,UBL,6.7x
457,NSE,UCOBANK,6.7x
458,NSE,UFLEX,6.7x
459,NSE,UJJIVAN,6.7x
460,NSE,ULTRACEMCO,6.7x
461,NSE,UNIONBANK,6.7x
462,NSE,UPL,6.7x
463,NSE,VAIBHAVGBL,6.7x
464,NSE,VAKRANGEE,6.7x
465,NSE,VARROC,6.7x
